chesi_name,principle_investigator,organization_name,logo_file_name,location
Improving Health Outcomes Through Systems and Policy changes in Maine ,Ralph Cammack​,Wabanaki Public Health and Wellness,wabanaki.png,"Bangor, ME"
Addressing Systemic Barriers Impacting Health in CHC Communities,Andrea Caracostis​,Asian American Health Coalition of the Greater Houston Area (HOPE Clinic)​,hope-clinic.png,"Houston, TX"
Addressing Food Insecurity in Underserved Communities,Katherine Chung Bridges,"Health Choice Network, Inc ",health-choice-network.jpg,"Miami, FL"
Strengthening Community-Driven Safety-Net Interventions to Improve Health and Economic Equity,Samantha Cornell​,"Access Health, Inc.​",access-health.png,"Muskegon, MI"
Redefining & Investing in Community: Improving Telehealth Care and Educational Programs among People Incarcerated in Rural State Prisons  ​,Jacob Eikenberry​,"From Prison Cells To PhD, Inc.​",from-prison-cells.jpg,"Maryland, Missouri"
Proyecto Juntos​,Gail Emrick ​,Southeast Arizona Area Health Education Center ​,seahec.png,"Nogales, AZ"
Agricultural Workers Digital Equity Initiative,Elizabeth Freeman​,NC State Department of Health & Human Services,ncdhhs.png,North Carolina
Humanitarian Health Care Network: Bringing the Most Vulnerable to Care,Deliana Garcia; Anibal Yariel Lopez-Correa and Lazslo Madaras,"Migrant Clinicians Network, Inc.",mcn.jpg,Texas
Community-Led Structural Intervention to Address Health Consequences of Community-Police Interactions,Linda Fulmer​,Healthy Tarrant County Collaboration,healthy-tarrant-county.png,"Tarrant County, TX"
Achieving Optimal Sexual and Reproductive Health Project​,June Arnessa Gipson,"My Brother's Keeper, Inc.​",my-brothers-keeper.png,Mississippi
Somos Esenciales: Community Revitalization and Health through Latino Arts and Entrepreneurship,Roberto Hernandez ​,Cultura y Arte Nativa de las Americas,cana.png,"San Francisco, CA"
Leveraging a community-driven approach to address the impact of social determinants of health on structural inequities among Miami-Dade County’s intergenerational LGBTQ+ Community​,Andrea Iglesias,Urban Health Partnerships​,uhp.jpg,"Miami, FL"
Watts Rising: A Vision for a Healthier Watts,Katrina Kubicek,Housing Authority of the City of Los Angeles ​,hacla.jpg,"Los Angeles, CA"
Neqkiuryaraq - The Art of Preparing Food,Brian Lefferts and James W. Keck​,Yukon-Kuskokwim Health Corporation​,yukon-kuskokwim.png,"Yukon-Kuskokwim Delta, AK"
Reducing Health Disparities through Enhanced Mobility Support and Access,Valerie Lefler ,Feonix - Mobility Rising,feonix.png,"Dallas, TX; Detroit, MI"
Partnership to Optimize Women’s Equity in Maternal and Infant Health,Karen Comer Matthews,"Delta Health Alliance, Inc.",delta-health.png,Mississippi
Cancer in Your Community: Strategies to Reduce Cancer and Chronic Disease in the Arkansas Delta,Trena Mitchell and Miriam Karanja ​,Arkansas Cancer Coalition​,arkansas-cancer-coalition.jpg,"St. Francis County, AR"
"Fostering Community Connections Through Native Hawaiian Cultural Values to Strengthen Youth Resilience, Health, and Well-Being​",May Michiko Okihiro​,Waianae Coast Comprehensive Health Center​,waianae-coast.png,"Oahu, HI"
"Puerto Rico Collaborative Advancement of Research, Innovations, Best Practices and Equity for Children, Youth and Families (PR-CARIBE)","Marizaida Sanchez, Christina Adames and Eric Rivera ​","Grupo Nexos, Inc.​",grupo-nexos.png,Puerto Rico
Healthy and Livable Bronx Partnership​,Eileen Torres and Bijan Kimiagar ​,"Bronxworks, Inc. ",bronxworks.svg,"Bronx, NY"
Achieving Equity in Farmworker Health Through Community-Led Research ​,Emma Torres,Campesinos Sin Fronteras,campesinos-sin-fronteras.png,"Yuma County, AZ"
"Creating Statewide Community Partnerships: Spanning Boundaries between Public Health, Emergency Housing & Criminal Justice",Raymond Waller​,"Families Against Narcotics, Inc​",families-against-narcotics.png,Michigan
Counteracting Structural Barriers to Increase Access to Medications for Opioid Use Disorder (MOUD) Among Unhoused Montanans ​,Rebecca Ramos​,Open Aid Alliance ​,open-aid-alliance.png,Montana
Asian Community-Led Health Equity Structural Intervention (Asian CHESI)  ​,Dunli Wu​,Asian Community Health Coalition ​,asian-community-health-coalition.png,"Philadelphia, PA; Washington, DC; New York, NY; New Jersey"
Indigenous healthy homes and healthy communities: A community-led initiative to improve health and support Indigenous Resilience in the US Southwest​,Sheldwin A. Yazzie ​,Albuquerque Area Indian Health Board,aaihb.png,"Albuquerque, NM"
